corpus,file,method,original_bytes,compressed_bytes,ratio,bits_per_byte,entropy_bits_per_byte,gap_to_h0_bits_per_byte,seconds,throughput_mib_s
canterbury,alice29.txt,raw,152089,152089,1.0,8.0,4.567680212177265,3.4323197878227347,5.00003807246685e-07,290084.5373690338
canterbury,alice29.txt,rle,152089,289852,1.9058051535614016,15.246441228491213,4.567680212177265,10.678761016313947,0.02952219999860972,4.913027251178456
canterbury,alice29.txt,zlib_9,152089,54170,0.35617303026517366,2.8493842421213893,4.567680212177265,-1.718295970055876,0.015409299987368286,9.412716556028432
canterbury,alice29.txt,bzip2_9,152089,43202,0.28405736115037905,2.2724588892030324,4.567680212177265,-2.295221322974233,0.011118200025521219,13.045580469407911
canterbury,alice29.txt,lzma_9,152089,48492,0.31883962679746725,2.550717014379738,4.567680212177265,-2.0169631977975273,0.06278710009064525,2.3100823719922112
canterbury,alice29.txt,brotli_11,152089,46487,0.305656556358448,2.445252450867584,4.567680212177265,-2.122427761309681,0.25192430010065436,0.5757418917109592
canterbury,alice29.txt,zstd_19,152089,49211,0.3235671218825819,2.5885369750606553,4.567680212177265,-1.97914323711661,0.0802547000348568,1.8072882092253024
canterbury,alice29.txt,ppmd_6,152089,38760,0.2548507781627863,2.0388062253022903,4.567680212177265,-2.528873986874975,0.026791700045578182,5.413742795759941
canterbury,asyoulik.txt,raw,125179,125179,1.0,8.0,4.808116220349888,3.1918837796501123,2.700020559132099e-06,44214.47712671927
canterbury,asyoulik.txt,rle,125179,243066,1.9417474176978566,15.533979341582853,4.808116220349888,10.725863121232965,0.02558439993299544,4.666124574587233
canterbury,asyoulik.txt,zlib_9,125179,48778,0.38966599829044807,3.1173279863235845,4.808116220349888,-1.6907882340263032,0.009562600054778159,12.484052095618825
canterbury,asyoulik.txt,bzip2_9,125179,39569,0.31609934573690474,2.528794765895238,4.808116220349888,-2.27932145445465,0.009030200075358152,13.220083304597564
canterbury,asyoulik.txt,lzma_9,125179,44536,0.3557785251519824,2.846228201215859,4.808116220349888,-1.9618880191340287,0.04913739999756217,2.4295139193229742
canterbury,asyoulik.txt,brotli_11,125179,42712,0.341207391016065,2.72965912812852,4.808116220349888,-2.0784570922213677,0.1727417999645695,0.6910892284201253
canterbury,asyoulik.txt,zstd_19,125179,45137,0.3605796499412841,2.884637199530273,4.808116220349888,-1.9234790208196149,0.04575469996780157,2.6091308070521255
canterbury,asyoulik.txt,ppmd_6,125179,36142,0.28872254930938895,2.3097803944751116,4.808116220349888,-2.498335825874776,0.021845699986442924,5.464690869484759
canterbury,cp.html,raw,24603,24603,1.0,8.0,5.229136688128089,2.770863311871911,1.200009137392044e-06,19552.558789289873
canterbury,cp.html,rle,24603,46474,1.8889566313051254,15.111653050441003,5.229136688128089,9.882516362312913,0.004345599911175668,5.399311875490896
