corpus,file,block_size,method,original_bytes,encoded_bytes,ratio
canterbury,asyoulik.txt,32,zero_trim,125179,133013,1.0625823820289346
canterbury,asyoulik.txt,32,raw,125179,125179,1.0
canterbury,cp.html,32,fisa,24603,24612,1.000365809047677
canterbury,cp.html,32,zero_block_bitmap,24603,24711,1.0043897085721254
canterbury,cp.html,32,zero_trim,24603,26151,1.0629191562004634
canterbury,cp.html,32,raw,24603,24603,1.0
canterbury,fields.c,32,fisa,11150,11158,1.0007174887892376
canterbury,fields.c,32,zero_block_bitmap,11150,11204,1.0048430493273544
canterbury,fields.c,32,zero_trim,11150,11857,1.063408071748879
canterbury,fields.c,32,raw,11150,11150,1.0
canterbury,grammar.lsp,32,fisa,3721,3729,1.002149959688256
canterbury,grammar.lsp,32,zero_block_bitmap,3721,3745,1.0064498790647676
canterbury,grammar.lsp,32,zero_trim,3721,3963,1.0650362805697393
canterbury,grammar.lsp,32,raw,3721,3721,1.0
canterbury,kennedy.xls,32,fisa,1029744,1029753,1.0000087400363586
canterbury,kennedy.xls,32,zero_block_bitmap,1029744,1033780,1.0039194207492348
canterbury,kennedy.xls,32,zero_trim,1029744,1060260,1.0296345499463944
canterbury,kennedy.xls,32,raw,1029744,1029744,1.0
canterbury,lcet10.txt,32,fisa,426754,426763,1.0000210894332566
canterbury,lcet10.txt,32,zero_block_bitmap,426754,428434,1.0039366942079042
canterbury,lcet10.txt,32,zero_trim,426754,453438,1.0625278263355469
canterbury,lcet10.txt,32,raw,426754,426754,1.0
canterbury,plrabn12.txt,32,fisa,481861,481870,1.0000186775854447
canterbury,plrabn12.txt,32,zero_block_bitmap,481861,483756,1.003932669379759
canterbury,plrabn12.txt,32,zero_trim,481861,511989,1.0625242549199874
canterbury,plrabn12.txt,32,raw,481861,481861,1.0
canterbury,ptt5,32,fisa,513216,292454,0.5698458348921311
canterbury,ptt5,32,zero_block_bitmap,513216,257921,0.5025583769796733
canterbury,ptt5,32,zero_trim,513216,143141,0.27890985472003993
canterbury,ptt5,32,raw,513216,513216,1.0
canterbury,sum,32,fisa,38240,38249,1.0002353556485355
canterbury,sum,32,zero_block_bitmap,38240,38242,1.00005230125523
canterbury,sum,32,zero_trim,38240,38119,0.9968357740585774
canterbury,sum,32,raw,38240,38240,1.0
canterbury,xargs.1,32,fisa,4227,4235,1.001892595221197
canterbury,xargs.1,32,zero_block_bitmap,4227,4254,1.0063875088715402
canterbury,xargs.1,32,zero_trim,4227,4502,1.0650579607286492
canterbury,xargs.1,32,raw,4227,4227,1.0
silesia,dickens,32,fisa,10192446,10192456,1.0000009811187618
silesia,dickens,32,zero_block_bitmap,10192446,10232276,1.003907796028549
silesia,dickens,32,zero_trim,10192446,10829486,1.0625011896064989
silesia,dickens,32,raw,10192446,10192446,1.0
silesia,mozilla,32,fisa,51220480,51220490,1.0000001952344062
silesia,mozilla,32,zero_block_bitmap,51220480,49360063,0.963678259165084
silesia,mozilla,32,zero_trim,51220480,49635473,0.9690552099472711
silesia,mozilla,32,raw,51220480,51220480,1.0
silesia,mr,32,fisa,9970564,8488107,0.8513166356486955
silesia,mr,32,zero_block_bitmap,9970564,7432627,0.7454570273055767
silesia,mr,32,zero_trim,9970564,7640922,0.76634802203767
silesia,mr,32,raw,9970564,9970564,1.0
silesia,nci,32,fisa,33553445,33553455,1.0000002980319904
silesia,nci,32,zero_block_bitmap,33553445,33684529,1.003906722543691
silesia,nci,32,zero_trim,33553445,35650549,1.062500407931287
silesia,nci,32,raw,33553445,33553445,1.0
silesia,ooffice,32,fisa,6152192,6152202,1.0000016254369175
silesia,ooffice,32,zero_block_bitmap,6152192,6142895,0.9984888312978528
silesia,ooffice,32,zero_trim,6152192,6400544,1.0403680509320905
silesia,ooffice,32,raw,6152192,6152192,1.0
silesia,osdb,32,fisa,10085684,10085694,1.0000009915043937
silesia,osdb,32,zero_block_bitmap,10085684,10125097,1.003907816267097
silesia,osdb,32,zero_trim,10085684,10648282,1.055781838891641
silesia,osdb,32,raw,10085684,10085684,1.0
silesia,reymont,32,fisa,6627202,6627212,1.0000015089324272
silesia,reymont,32,zero_block_bitmap,6627202,6653105,1.003908587666409
silesia,reymont,32,zero_trim,6627202,7041408,1.062500886497801
silesia,reymont,32,raw,6627202,6627202,1.0
silesia,samba,32,fisa,21606400,21606410,1.0000004628258294
silesia,samba,32,zero_block_bitmap,21606400,20755167,0.9606027380776067
silesia,samba,32,zero_trim,21606400,21888073,1.0130365539840047
silesia,samba,32,raw,21606400,21606400,1.0
silesia,sao,32,fisa,7251944,7251954,1.0000013789405986
silesia,sao,32,zero_block_bitmap,7251944,7280287,1.003908331338466
silesia,sao,32,zero_trim,7251944,7697382,1.0614232542336235
silesia,sao,32,raw,7251944,7251944,1.0
silesia,webster,32,fisa,41458703,41458713,1.0000002412038795
silesia,webster,32,zero_block_bitmap,41458703,41620667,1.003906634512903
silesia,webster,32,zero_trim,41458703,44049885,1.0625003150725676
silesia,webster,32,raw,41458703,41458703,1.0
silesia,x-ray,32,fisa,8474240,8474250,1.0000011800468243
silesia,x-ray,32,zero_block_bitmap,8474240,8507326,1.00390430292274
silesia,x-ray,32,zero_trim,8474240,9002572,1.0623456498753872
silesia,x-ray,32,raw,8474240,8474240,1.0
silesia,xml,32,fisa,5345280,5345290,1.000001870809387
silesia,xml,32,zero_block_bitmap,5345280,5347167,1.000353021731322
silesia,xml,32,zero_trim,5345280,5658507,1.0585988011853449
