corpus,file,ratio,zero_byte_fraction,zero_block_fraction,mean_leading_zero_fraction,mean_trailing_zero_fraction,mean_nonzero_fraction,median_nonzero_fraction,mean_unique_bytes
silesia,mr,0.773154558,0.5615599077444365,0.24702166991886618,0.26065422967803226,0.2658486555792339,0.4384346396156414,0.5,42.49237444798192
canterbury,ptt5,0.842370464,0.8712491426611797,0.171072319201995,0.28761689526184536,0.28536666147132167,0.1287348036159601,0.0546875,14.63142144638404
silesia,mozilla,0.993760269,0.2613330839539184,0.02538984406237505,0.029647047431027588,0.03914401036460416,0.7386669160460816,0.80859375,64.15831167532987
silesia,webster,1.000000241,0.0,0.0,0.0,0.0,1.0,1.0,39.381329924852885
silesia,nci,1.000000298,0.0,0.0,0.0,0.0,1.0,1.0,16.176998374901768
silesia,samba,1.000000463,0.05086076347748815,0.010971563981042654,0.011067461492890996,0.04322316535841232,0.9491392365225119,1.0,46.09542654028436
silesia,dickens,1.000000981,0.0,0.0,0.0,0.0,1.0,1.0,32.68858470425719
silesia,osdb,1.000000992,0.06645082277017603,0.0,0.00045628109294888064,0.00037319470531499063,0.9335505212828062,0.93359375,93.89649220772628
silesia,x-ray,1.00000118,0.0022907068952496036,0.0,1.8762461106244148e-05,0.0,0.9977093277044377,1.0,89.62069903029936
silesia,sao,1.000001379,0.007598238486121791,0.0,8.480456615362891e-05,4.715961239762779e-05,0.9924017866598418,0.99609375,129.52170996893534
silesia,reymont,1.000001509,2.4142918836637242e-05,0.0,1.5089037391841779e-07,0.0,0.999975857540173,1.0,41.90737021013597
silesia,ooffice,1.000001625,0.12457316026547936,0.005034953395472703,0.006028745526797603,0.006359196852113848,0.8754268397345206,0.90234375,74.62167110519307
silesia,xml,1.000001871,0.003923087284482759,0.0018199233716475096,0.0018238520713601532,0.0034422892720306513,0.9960769127155172,1.0,37.53333333333333
canterbury,kennedy.xls,1.00000874,0.44313732345126555,0.0,0.002050985849224104,0.0021099381680338056,0.556870955177373,0.5390625,27.42257022122794
canterbury,plrabn12.txt,1.000018678,0.0,0.0,0.0,0.0,1.0,1.0,34.42538502389804
canterbury,lcet10.txt,1.000021089,0.0,0.0,0.0,0.0,1.0,1.0,35.12709832134293
canterbury,alice29.txt,1.000059176,0.0,0.0,0.0,0.0,1.0,1.0,35.36638655462185
canterbury,asyoulik.txt,1.000071897,0.0,0.0,0.0,0.0,1.0,1.0,39.425357873210636
canterbury,sum,1.000235356,0.32055439330543933,0.0,0.008576388888888889,0.003689236111111111,0.6772222222222223,0.802734375,42.413333333333334
canterbury,cp.html,1.000365809,0.0,0.0,0.0,0.0,1.0,1.0,43.63917525773196
canterbury,fields.c,1.000717489,0.0,0.0,0.0,0.0,1.0,1.0,41.02272727272727
canterbury,xargs.1,1.001892595,0.0,0.0,0.0,0.0,1.0,1.0,37.294117647058826
canterbury,grammar.lsp,1.00214996,0.0,0.0,0.0,0.0,1.0,1.0,33.4
