corpus,file,block_size,method,symbols,coded_bits,original_bits,ratio
canterbury,grammar.lsp,256,fixed_binary_no_delimiters,11775,28746,29768,0.9656678312281645
canterbury,grammar.lsp,256,elias_gamma,11775,45717,29768,1.5357766729373825
canterbury,grammar.lsp,256,elias_delta,11775,53638,29768,1.8018677774791723
canterbury,grammar.lsp,256,fibonacci_universal,11775,46175,29768,1.5511623219564634
canterbury,grammar.lsp,256,leb128,11775,94200,29768,3.164471916151572
canterbury,grammar.lsp,256,rice_oracle_k1,11775,35477,29768,1.1917831228164473
canterbury,grammar.lsp,512,fixed_binary_no_delimiters,11857,28892,29768,0.9705724267669981
canterbury,grammar.lsp,512,elias_gamma,11857,45927,29768,1.5428312281644718
canterbury,grammar.lsp,512,elias_delta,11857,53932,29768,1.8117441547970976
canterbury,grammar.lsp,512,fibonacci_universal,11857,46388,29768,1.5583176565439398
canterbury,grammar.lsp,512,leb128,11857,94856,29768,3.1865090029561944
canterbury,grammar.lsp,512,rice_oracle_k1,11857,35534,29768,1.1936979306638
canterbury,kennedy.xls,64,fixed_binary_no_delimiters,3215550,7854260,8237952,0.9534238606877049
canterbury,kennedy.xls,64,elias_gamma,3215550,12492970,8237952,1.5165140559206949
canterbury,kennedy.xls,64,elias_delta,3215550,14656604,8237952,1.7791562757345516
canterbury,kennedy.xls,64,fibonacci_universal,3215550,12600294,8237952,1.5295420512282665
canterbury,kennedy.xls,64,leb128,3215550,25724400,8237952,3.12266932363772
canterbury,kennedy.xls,64,rice_oracle_k1,3215550,9663133,8237952,1.1730018577432837
canterbury,kennedy.xls,256,fixed_binary_no_delimiters,3269157,7969864,8237952,0.9674569601765098
canterbury,kennedy.xls,256,elias_gamma,3269157,12670571,8237952,1.5380729336611818
canterbury,kennedy.xls,256,elias_delta,3269157,14871016,8237952,1.8051836184527417
canterbury,kennedy.xls,256,fibonacci_universal,3269157,12794102,8237952,1.5530682868751846
canterbury,kennedy.xls,256,leb128,3269157,26153256,8237952,3.174727893534704
canterbury,kennedy.xls,256,rice_oracle_k1,3269157,9801918,8237952,1.1898488847713606
canterbury,kennedy.xls,512,fixed_binary_no_delimiters,3273979,7982907,8237952,0.9690402420407402
canterbury,kennedy.xls,512,elias_gamma,3273979,12691835,8237952,1.5406541577324073
canterbury,kennedy.xls,512,elias_delta,3273979,14894177,8237952,1.8079951182041363
canterbury,kennedy.xls,512,fibonacci_universal,3273979,12816497,8237952,1.5557868023508756
canterbury,kennedy.xls,512,leb128,3273979,26191832,8237952,3.1794106107925852
canterbury,kennedy.xls,512,rice_oracle_k1,3273979,9821056,8237952,1.192172034991221
canterbury,lcet10.txt,64,fixed_binary_no_delimiters,1359650,3313537,3414032,0.9705641306232631
canterbury,lcet10.txt,64,elias_gamma,1359650,5267424,3414032,1.5428748178107294
canterbury,lcet10.txt,64,elias_delta,1359650,6181953,3414032,1.8107484054045189
canterbury,lcet10.txt,64,fibonacci_universal,1359650,5319187,3414032,1.5580366557782703
canterbury,lcet10.txt,64,leb128,1359650,10877200,3414032,3.1860275474863737
canterbury,lcet10.txt,64,rice_oracle_k1,1359650,4073631,3414032,1.1932023484255567
canterbury,lcet10.txt,256,fixed_binary_no_delimiters,1358650,3312875,3414032,0.9703702250008202
canterbury,lcet10.txt,256,elias_gamma,1358650,5267100,3414032,1.5427799153610746
canterbury,lcet10.txt,256,elias_delta,1358650,6181827,3414032,1.8107114988963195
canterbury,lcet10.txt,256,fibonacci_universal,1358650,5318925,3414032,1.55795991367392
canterbury,lcet10.txt,256,leb128,1358650,10869200,3414032,3.183684277124526
canterbury,lcet10.txt,256,rice_oracle_k1,1358650,4076167,3414032,1.1939451651302624
canterbury,lcet10.txt,512,fixed_binary_no_delimiters,1360896,3317762,3414032,0.9718016702831139
canterbury,lcet10.txt,512,elias_gamma,1360896,5274628,3414032,1.5449849327715732
canterbury,lcet10.txt,512,elias_delta,1360896,6190180,3414032,1.813158166062884
canterbury,lcet10.txt,512,fibonacci_universal,1360896,5324595,3414032,1.5596207065428795
canterbury,lcet10.txt,512,leb128,1360896,10887168,3414032,3.188947262357236
canterbury,lcet10.txt,512,rice_oracle_k1,1360896,4078668,3414032,1.1946777300271352
canterbury,plrabn12.txt,64,fixed_binary_no_delimiters,1537708,3744911,3854888,0.9714707664658481
canterbury,plrabn12.txt,64,elias_gamma,1537708,5952114,3854888,1.54404330294421
canterbury,plrabn12.txt,64,elias_delta,1537708,6988269,3854888,1.8128332133125529
canterbury,plrabn12.txt,64,fibonacci_universal,1537708,6012076,3854888,1.559598099866974
canterbury,plrabn12.txt,64,leb128,1537708,12301664,3854888,3.1911858398998882
canterbury,plrabn12.txt,64,rice_oracle_k1,1537708,4602613,3854888,1.1939680218984312
canterbury,plrabn12.txt,256,fixed_binary_no_delimiters,1536249,3744625,3854888,0.9713965749458869
canterbury,plrabn12.txt,256,elias_gamma,1536249,5953001,3854888,1.5442734004204532
canterbury,plrabn12.txt,256,elias_delta,1536249,6987021,3854888,1.8125094684981768
canterbury,plrabn12.txt,256,fibonacci_universal,1536249,6010895,3854888,1.559291735583498
canterbury,plrabn12.txt,256,leb128,1536249,12289992,3854888,3.1881579957705646
canterbury,plrabn12.txt,256,rice_oracle_k1,1536249,4604279,3854888,1.1944002004727505
canterbury,plrabn12.txt,512,fixed_binary_no_delimiters,1534065,3741713,3854888,0.9706411703790098
canterbury,plrabn12.txt,512,elias_gamma,1534065,5949361,3854888,1.5433291447118567
canterbury,plrabn12.txt,512,elias_delta,1534065,6981219,3854888,1.8110043664044195
canterbury,plrabn12.txt,512,fibonacci_universal,1534065,6005230,3854888,1.5578221727842676
canterbury,plrabn12.txt,512,leb128,1534065,12272520,3854888,3.1836255683693016
canterbury,plrabn12.txt,512,rice_oracle_k1,1534065,4602122,3854888,1.1938406511421344
canterbury,ptt5,64,fixed_binary_no_delimiters,760469,1852474,4105728,0.45119257778401295
canterbury,ptt5,64,elias_gamma,760469,2944479,4105728,0.7171636796202768
canterbury,ptt5,64,elias_delta,760469,3457724,4105728,0.8421707429230577
canterbury,ptt5,64,fibonacci_universal,760469,2973184,4105728,0.724155131562539
canterbury,ptt5,64,leb128,760469,6083752,4105728,1.4817718075819928
canterbury,ptt5,64,rice_oracle_k1,760469,2276459,4105728,0.5544592822515276
canterbury,ptt5,256,fixed_binary_no_delimiters,1163347,2836579,4105728,0.6908833220320488
canterbury,ptt5,256,elias_gamma,1163347,4509811,4105728,1.0984193302625016
canterbury,ptt5,256,elias_delta,1163347,5292279,4105728,1.288998930274972
canterbury,ptt5,256,fibonacci_universal,1163347,4554288,4105728,1.1092522446689113
canterbury,ptt5,256,leb128,1163347,9306776,4105728,2.26677851041277
canterbury,ptt5,256,rice_oracle_k1,1163347,3489550,4105728,0.8499223523818431
canterbury,ptt5,512,fixed_binary_no_delimiters,1261662,3076269,4105728,0.7492627373269735
canterbury,ptt5,512,elias_gamma,1261662,4890876,4105728,1.1912323466142911
canterbury,ptt5,512,elias_delta,1261662,5739769,4105728,1.3979905634274847
canterbury,ptt5,512,fibonacci_universal,1261662,4938341,4105728,1.202793024769298
canterbury,ptt5,512,leb128,1261662,10093296,4105728,2.4583450243172464
canterbury,ptt5,512,rice_oracle_k1,1261662,3783926,4105728,0.9216212082242174
canterbury,sum,64,fixed_binary_no_delimiters,119073,290036,305920,0.9480779288702929
canterbury,sum,64,elias_gamma,119073,460999,305920,1.5069266474895398
canterbury,sum,64,elias_delta,119073,541076,305920,1.7686846234309623
canterbury,sum,64,fibonacci_universal,119073,465883,305920,1.5228916056485355
canterbury,sum,64,leb128,119073,952584,305920,3.113833682008368
canterbury,sum,64,rice_oracle_k1,119073,356836,305920,1.166435669456067
canterbury,sum,256,fixed_binary_no_delimiters,120656,294458,305920,0.9625326882845189
canterbury,sum,256,elias_gamma,120656,468260,305920,1.530661610878661
canterbury,sum,256,elias_delta,120656,549298,305920,1.795560930962343
canterbury,sum,256,fibonacci_universal,120656,472428,305920,1.5442860878661089
canterbury,sum,256,leb128,120656,965248,305920,3.1552301255230124
canterbury,sum,256,rice_oracle_k1,120656,361913,305920,1.1830315115062762
canterbury,sum,512,fixed_binary_no_delimiters,120948,295173,305920,0.964869900627615
canterbury,sum,512,elias_gamma,120948,469398,305920,1.5343815376569037
canterbury,sum,512,elias_delta,120948,550811,305920,1.800506668410042
canterbury,sum,512,fibonacci_universal,120948,473476,305920,1.547711820083682
canterbury,sum,512,leb128,120948,967584,305920,3.162866108786611
canterbury,sum,512,rice_oracle_k1,120948,362813,305920,1.1859734571129708
canterbury,xargs.1,64,fixed_binary_no_delimiters,13500,32815,33816,0.9703986278684646
canterbury,xargs.1,64,elias_gamma,13500,52130,33816,1.541577951265673
canterbury,xargs.1,64,elias_delta,13500,61343,33816,1.814022947717057
canterbury,xargs.1,64,fibonacci_universal,13500,52745,33816,1.5597646084693637
canterbury,xargs.1,64,leb128,13500,108000,33816,3.1937544357700496
canterbury,xargs.1,64,rice_oracle_k1,13500,40412,33816,1.1950555949846227
canterbury,xargs.1,256,fixed_binary_no_delimiters,13438,32786,33816,0.9695410456588597
canterbury,xargs.1,256,elias_gamma,13438,52134,33816,1.5416962384669979
canterbury,xargs.1,256,elias_delta,13438,61198,33816,1.8097350366690323
canterbury,xargs.1,256,fibonacci_universal,13438,52688,33816,1.558079015850485
canterbury,xargs.1,256,leb128,13438,107504,33816,3.1790868228057723
canterbury,xargs.1,256,rice_oracle_k1,13438,40384,33816,1.194227584575349
canterbury,xargs.1,512,fixed_binary_no_delimiters,13328,32612,33816,0.9643955524012302
canterbury,xargs.1,512,elias_gamma,13328,51896,33816,1.5346581499881713
canterbury,xargs.1,512,elias_delta,13328,60832,33816,1.7989117577478118
canterbury,xargs.1,512,fibonacci_universal,13328,52348,33816,1.5480246037378755
canterbury,xargs.1,512,leb128,13328,106624,33816,3.153063638514313
canterbury,xargs.1,512,rice_oracle_k1,13328,40223,33816,1.189466524722025
silesia_sample,dickens,64,fixed_binary_no_delimiters,209130,509257,524288,0.9713306427001953
silesia_sample,dickens,64,elias_gamma,209130,809384,524288,1.5437774658203125
silesia_sample,dickens,64,elias_delta,209130,950269,524288,1.8124942779541016
silesia_sample,dickens,64,fibonacci_universal,209130,817802,524288,1.5598335266113281
silesia_sample,dickens,64,leb128,209130,1673040,524288,3.191070556640625
silesia_sample,dickens,64,rice_oracle_k1,209130,626102,524288,1.1941947937011719
silesia_sample,dickens,256,fixed_binary_no_delimiters,209187,509446,524288,0.9716911315917969
silesia_sample,dickens,256,elias_gamma,209187,809705,524288,1.5443897247314453
silesia_sample,dickens,256,elias_delta,209187,951086,524288,1.8140525817871094
silesia_sample,dickens,256,fibonacci_universal,209187,817826,524288,1.5598793029785156
silesia_sample,dickens,256,leb128,209187,1673496,524288,3.1919403076171875
silesia_sample,dickens,256,rice_oracle_k1,209187,626370,524288,1.1947059631347656
silesia_sample,dickens,512,fixed_binary_no_delimiters,208909,509329,524288,0.9714679718017578
silesia_sample,dickens,512,elias_gamma,208909,809749,524288,1.544473648071289
silesia_sample,dickens,512,elias_delta,208909,950445,524288,1.8128299713134766
silesia_sample,dickens,512,fibonacci_universal,208909,817417,524288,1.5590991973876953
silesia_sample,dickens,512,leb128,208909,1671272,524288,3.1876983642578125
silesia_sample,dickens,512,rice_oracle_k1,208909,626257,524288,1.1944904327392578
silesia_sample,mozilla,64,fixed_binary_no_delimiters,147433,359647,524288,0.6859722137451172
silesia_sample,mozilla,64,elias_gamma,147433,571861,524288,1.090738296508789
silesia_sample,mozilla,64,elias_delta,147433,670551,524288,1.2789745330810547
silesia_sample,mozilla,64,fibonacci_universal,147433,576891,524288,1.100332260131836
silesia_sample,mozilla,64,leb128,147433,1179464,524288,2.2496490478515625
silesia_sample,mozilla,64,rice_oracle_k1,147433,441741,524288,0.8425540924072266
silesia_sample,mozilla,256,fixed_binary_no_delimiters,155116,377937,524288,0.7208576202392578
silesia_sample,mozilla,256,elias_gamma,155116,600758,524288,1.1458549499511719
silesia_sample,mozilla,256,elias_delta,155116,705253,524288,1.345163345336914
silesia_sample,mozilla,256,fibonacci_universal,155116,606854,524288,1.1574821472167969
silesia_sample,mozilla,256,leb128,155116,1240928,524288,2.36688232421875
silesia_sample,mozilla,256,rice_oracle_k1,155116,464763,524288,0.8864650726318359
silesia_sample,mozilla,512,fixed_binary_no_delimiters,157931,384946,524288,0.7342262268066406
silesia_sample,mozilla,512,elias_gamma,157931,611961,524288,1.1672229766845703
silesia_sample,mozilla,512,elias_delta,157931,718656,524288,1.3707275390625
silesia_sample,mozilla,512,fibonacci_universal,157931,617848,524288,1.1784515380859375
silesia_sample,mozilla,512,leb128,157931,1263448,524288,2.4098358154296875
silesia_sample,mozilla,512,rice_oracle_k1,157931,473307,524288,0.9027614593505859
silesia_sample,mr,64,fixed_binary_no_delimiters,154347,375711,524288,0.7166118621826172
silesia_sample,mr,64,elias_gamma,154347,597075,524288,1.1388301849365234
silesia_sample,mr,64,elias_delta,154347,701189,524288,1.337411880493164
silesia_sample,mr,64,fibonacci_universal,154347,602977,524288,1.1500873565673828
silesia_sample,mr,64,leb128,154347,1234776,524288,2.3551483154296875
silesia_sample,mr,64,rice_oracle_k1,154347,461613,524288,0.8804569244384766
silesia_sample,mr,256,fixed_binary_no_delimiters,157175,383089,524288,0.7306842803955078
silesia_sample,mr,256,elias_gamma,157175,609003,524288,1.161581039428711
silesia_sample,mr,256,elias_delta,157175,714765,524288,1.3633060455322266
silesia_sample,mr,256,fibonacci_universal,157175,615052,524288,1.1731185913085938
silesia_sample,mr,256,leb128,157175,1257400,524288,2.3983001708984375
silesia_sample,mr,256,rice_oracle_k1,157175,471025,524288,0.8984088897705078
silesia_sample,mr,512,fixed_binary_no_delimiters,203404,495875,524288,0.9458065032958984
silesia_sample,mr,512,elias_gamma,203404,788346,524288,1.5036506652832031
silesia_sample,mr,512,elias_delta,203404,925233,524288,1.7647418975830078
silesia_sample,mr,512,fibonacci_universal,203404,796000,524288,1.51824951171875
silesia_sample,mr,512,leb128,203404,1627232,524288,3.10369873046875
silesia_sample,mr,512,rice_oracle_k1,203404,609945,524288,1.1633777618408203
silesia_sample,nci,64,fixed_binary_no_delimiters,208989,508432,524288,0.969757080078125
silesia_sample,nci,64,elias_gamma,208989,807875,524288,1.5408992767333984
silesia_sample,nci,64,elias_delta,208989,948538,524288,1.8091926574707031
silesia_sample,nci,64,fibonacci_universal,208989,816473,524288,1.5572986602783203
silesia_sample,nci,64,leb128,208989,1671912,524288,3.1889190673828125
silesia_sample,nci,64,rice_oracle_k1,208989,624915,524288,1.1919307708740234
silesia_sample,nci,256,fixed_binary_no_delimiters,208755,509094,524288,0.9710197448730469
silesia_sample,nci,256,elias_gamma,208755,809433,524288,1.5438709259033203
silesia_sample,nci,256,elias_delta,208755,949742,524288,1.8114891052246094
silesia_sample,nci,256,fibonacci_universal,208755,816655,524288,1.5576457977294922
silesia_sample,nci,256,leb128,208755,1670040,524288,3.1853485107421875
silesia_sample,nci,256,rice_oracle_k1,208755,625794,524288,1.1936073303222656
silesia_sample,nci,512,fixed_binary_no_delimiters,208335,508189,524288,0.9692935943603516
silesia_sample,nci,512,elias_gamma,208335,808043,524288,1.541219711303711
silesia_sample,nci,512,elias_delta,208335,948289,524288,1.8087177276611328
silesia_sample,nci,512,fibonacci_universal,208335,816191,524288,1.5567607879638672
silesia_sample,nci,512,leb128,208335,1666680,524288,3.1789398193359375
silesia_sample,nci,512,rice_oracle_k1,208335,625726,524288,1.1934776306152344
silesia_sample,ooffice,64,fixed_binary_no_delimiters,197704,482027,524288,0.9193935394287109
silesia_sample,ooffice,64,elias_gamma,197704,766350,524288,1.4616966247558594
silesia_sample,ooffice,64,elias_delta,197704,899147,524288,1.714986801147461
silesia_sample,ooffice,64,fibonacci_universal,197704,773275,524288,1.474905014038086
silesia_sample,ooffice,64,leb128,197704,1581632,524288,3.0167236328125
silesia_sample,ooffice,64,rice_oracle_k1,197704,592204,524288,1.1295394897460938
silesia_sample,ooffice,256,fixed_binary_no_delimiters,198215,483109,524288,0.9214572906494141
silesia_sample,ooffice,256,elias_gamma,198215,768003,524288,1.4648494720458984
silesia_sample,ooffice,256,elias_delta,198215,901657,524288,1.7197742462158203
silesia_sample,ooffice,256,fibonacci_universal,198215,775613,524288,1.4793643951416016
silesia_sample,ooffice,256,leb128,198215,1585720,524288,3.0245208740234375
silesia_sample,ooffice,256,rice_oracle_k1,198215,594006,524288,1.1329765319824219
silesia_sample,ooffice,512,fixed_binary_no_delimiters,199060,485300,524288,0.9256362915039062
silesia_sample,ooffice,512,elias_gamma,199060,771540,524288,1.4715957641601562
silesia_sample,ooffice,512,elias_delta,199060,905644,524288,1.7273788452148438
silesia_sample,ooffice,512,fibonacci_universal,199060,778619,524288,1.485097885131836
silesia_sample,ooffice,512,leb128,199060,1592480,524288,3.03741455078125
silesia_sample,ooffice,512,rice_oracle_k1,199060,596561,524288,1.1378498077392578
silesia_sample,osdb,64,fixed_binary_no_delimiters,208140,507483,524288,0.9679470062255859
silesia_sample,osdb,64,elias_gamma,208140,806826,524288,1.5388984680175781
silesia_sample,osdb,64,elias_delta,208140,946835,524288,1.8059444427490234
silesia_sample,osdb,64,fibonacci_universal,208140,814590,524288,1.5537071228027344
silesia_sample,osdb,64,leb128,208140,1665120,524288,3.17596435546875
silesia_sample,osdb,64,rice_oracle_k1,208140,624055,524288,1.1902904510498047
silesia_sample,osdb,256,fixed_binary_no_delimiters,208863,508924,524288,0.9706954956054688
silesia_sample,osdb,256,elias_gamma,208863,808985,524288,1.5430164337158203
silesia_sample,osdb,256,elias_delta,208863,949600,524288,1.81121826171875
silesia_sample,osdb,256,fibonacci_universal,208863,817333,524288,1.558938980102539
silesia_sample,osdb,256,leb128,208863,1670904,524288,3.1869964599609375
silesia_sample,osdb,256,rice_oracle_k1,208863,626126,524288,1.1942405700683594
silesia_sample,osdb,512,fixed_binary_no_delimiters,208583,508497,524288,0.9698810577392578
silesia_sample,osdb,512,elias_gamma,208583,808411,524288,1.541921615600586
silesia_sample,osdb,512,elias_delta,208583,948773,524288,1.809640884399414
silesia_sample,osdb,512,fibonacci_universal,208583,816581,524288,1.557504653930664
silesia_sample,osdb,512,leb128,208583,1668664,524288,3.1827239990234375
silesia_sample,osdb,512,rice_oracle_k1,208583,625931,524288,1.193868637084961
silesia_sample,reymont,64,fixed_binary_no_delimiters,208905,509015,524288,0.9708690643310547
silesia_sample,reymont,64,elias_gamma,208905,809125,524288,1.543283462524414
silesia_sample,reymont,64,elias_delta,208905,949731,524288,1.8114681243896484
silesia_sample,reymont,64,fibonacci_universal,208905,816863,524288,1.5580425262451172
silesia_sample,reymont,64,leb128,208905,1671240,524288,3.1876373291015625
silesia_sample,reymont,64,rice_oracle_k1,208905,625426,524288,1.1929054260253906
silesia_sample,reymont,256,fixed_binary_no_delimiters,208463,508545,524288,0.9699726104736328
silesia_sample,reymont,256,elias_gamma,208463,808627,524288,1.5423336029052734
silesia_sample,reymont,256,elias_delta,208463,948615,524288,1.8093395233154297
silesia_sample,reymont,256,fibonacci_universal,208463,816294,524288,1.5569572448730469
silesia_sample,reymont,256,leb128,208463,1667704,524288,3.1808929443359375
silesia_sample,reymont,256,rice_oracle_k1,208463,625501,524288,1.1930484771728516
silesia_sample,reymont,512,fixed_binary_no_delimiters,208791,509099,524288,0.9710292816162109
silesia_sample,reymont,512,elias_gamma,208791,809407,524288,1.5438213348388672
silesia_sample,reymont,512,elias_delta,208791,949825,524288,1.8116474151611328
silesia_sample,reymont,512,fibonacci_universal,208791,817257,524288,1.5587940216064453
silesia_sample,reymont,512,leb128,208791,1670328,524288,3.1858978271484375
silesia_sample,reymont,512,rice_oracle_k1,208791,626185,524288,1.1943531036376953
silesia_sample,samba,64,fixed_binary_no_delimiters,194468,473930,524288,0.9039497375488281
silesia_sample,samba,64,elias_gamma,194468,753392,524288,1.436981201171875
silesia_sample,samba,64,elias_delta,194468,883996,524288,1.6860885620117188
silesia_sample,samba,64,fibonacci_universal,194468,760945,524288,1.4513874053955078
silesia_sample,samba,64,leb128,194468,1555744,524288,2.96734619140625
silesia_sample,samba,64,rice_oracle_k1,194468,582730,524288,1.1114692687988281
silesia_sample,samba,256,fixed_binary_no_delimiters,206795,504340,524288,0.9619522094726562
silesia_sample,samba,256,elias_gamma,206795,801885,524288,1.5294742584228516
silesia_sample,samba,256,elias_delta,206795,941152,524288,1.79510498046875
silesia_sample,samba,256,fibonacci_universal,206795,809804,524288,1.5445785522460938
silesia_sample,samba,256,leb128,206795,1654360,524288,3.1554412841796875
silesia_sample,samba,256,rice_oracle_k1,206795,620630,524288,1.1837577819824219
silesia_sample,samba,512,fixed_binary_no_delimiters,208904,509228,524288,0.9712753295898438
silesia_sample,samba,512,elias_gamma,208904,809552,524288,1.544097900390625
silesia_sample,samba,512,elias_delta,208904,950126,524288,1.8122215270996094
silesia_sample,samba,512,fibonacci_universal,208904,817068,524288,1.5584335327148438
silesia_sample,samba,512,leb128,208904,1671232,524288,3.1876220703125
silesia_sample,samba,512,rice_oracle_k1,208904,626108,524288,1.1942062377929688
silesia_sample,sao,64,fixed_binary_no_delimiters,208262,507982,524288,0.9688987731933594
silesia_sample,sao,64,elias_gamma,208262,807702,524288,1.5405693054199219
silesia_sample,sao,64,elias_delta,208262,948004,524288,1.8081741333007812
