corpus,method,mean_ratio,median_ratio,mean_throughput_mib_s,median_peak_bytes,mean_redundancy_bpb,files
synthetic,brotli_11,0.1793035825588675,0.0009136521308225,5.9532090492470315,32957.0,-1.8487588480369812,7
synthetic,bzip2_9,0.18548770209437607,0.0029732408325074,33.37336922279728,7551254.0,-1.7992858917529126,7
synthetic,lzma_9,0.18569286507924218,0.0030971258671952,1.7094706085695914,705805894.0,-1.797644587873984,7
synthetic,zlib_9,0.18838933485350595,0.0041501486620416,120.21626164008293,300897.0,-1.7760728296798738,7
synthetic,fipb_raw_fallback_bs512,0.8679320718721241,1.00994873046875,1.3253725325762862,2043085.0,3.660269066469071,7
synthetic,fipb_raw_fallback_bs256,0.8785355800308385,1.01971435546875,0.7492055166267121,695390.0,3.7450971317387873,7
synthetic,fipb_raw_fallback_bs128,0.8997381718827429,1.03924560546875,0.36276059404831146,333613.0,3.9147178665540214,7
synthetic,fipb_raw_fallback_bs64,0.9131146317144029,1.0470428466796875,0.20833526604499583,246459.0,4.021729545207302,7
synthetic,fipb_raw_fallback_bs32,0.9689182031429743,1.0939178466796875,0.12253930577251516,296881.0,4.468158116635874,7
synthetic,raw,1.0,1.0,31355.6069417496,92.0,4.716812491492078,7
synthetic,fipb_raw_fallback_bs16,1.0805253460001172,1.1876678466796875,0.07593515860769497,392938.0,5.3610152594930165,7
synthetic,rle,1.3497532435825892,1.9375,4.389831808918367,253675.0,7.514838440152793,7
synthetic,fipb_forced_bs512,1.4316495689879256,1.68359375,1.3622118822381697,2090120.0,8.170009043395483,7
synthetic,fipb_forced_bs256,1.4706368487532409,1.70721435546875,0.7029916365017451,746037.0,8.481907281518007,7
synthetic,fipb_forced_bs128,1.5329180537481306,1.76470947265625,0.39482665132674877,383770.0,8.980156921477123,7
synthetic,fipb_forced_bs64,1.6334559054309208,1.8831329345703125,0.21303978965285258,357962.0,9.784459734939446,7
synthetic,fipb_forced_bs32,1.6410329841139568,1.906420341922696,0.11506540407677453,401082.0,9.845076364403733,7
synthetic,fipb_forced_bs16,1.9657727127690905,2.2462615966796875,0.07598314637267067,528793.0,12.442994193644804,7
