corpus,method,mean_ratio,median_ratio,weighted_ratio,mean_throughput_mib_s
canterbury,brotli_11,0.25713804416134173,0.2802097305206682,0.17456410738071657,0.6394479668275975
canterbury,lzma_9,0.27570593941458293,0.3106938178270942,0.175138324396325,1.823937905093446
canterbury,ppmd_6,0.24660762993729565,0.2666341503068731,0.18186776358482187,6.044180580067154
canterbury,zstd_19,0.27923619249955867,0.3134983538592854,0.1837056849619181,2.9434423626374357
canterbury,bzip2_9,0.27816241241625916,0.3021140951436202,0.19308136092990424,14.951588389396909
canterbury,zlib_9,0.3152102900418903,0.3357217573221757,0.2589384314127304,14.730381237886041
canterbury,raw,1.0,1.0,1.0,111652.95113288205
canterbury,rle,1.6922349017785214,1.885446885090708,1.532072902079989,5.756970153483399
silesia,lzma_9,0.2785138140049364,0.26847438940218094,0.23023406120773293,2.400838159935289
silesia,ppmd_6,0.2733364739242788,0.2327295014631412,0.2366699540970785,5.721221650279486
silesia,brotli_11,0.2855489985403449,0.27738217781985336,0.23748666712780656,0.5127106762452079
silesia,zstd_19,0.30317142863097885,0.28715109729903293,0.2497175879917663,2.2211299004173317
silesia,bzip2_9,0.29295558890464457,0.25975744818298135,0.2571819109102269,13.30817364611795
silesia,zlib_9,0.3717127183566243,0.365678643068701,0.31916450983110295,13.928199111792004
silesia,raw,1.0,1.0,1.0,552746.9873127798
silesia,rle,1.7985361547687326,1.9076878572744942,1.7288223975078063,5.128780429841501
