campaign,corpus,method,files,mean_ratio,median_ratio,weighted_ratio,ci95_mean_low,ci95_mean_high,mean_throughput_mib_s
benchmark,canterbury,brotli_11,2,0.3234319736872565,0.3234319736872565,0.32170679631259286,0.305656556358448,0.341207391016065,0.39495020570064343
benchmark,canterbury,bzip2_9,2,0.30007835344364187,0.30007835344364187,0.2985234502358729,0.284057361150379,0.3160993457369047,9.681427557681383
benchmark,canterbury,fipb_forced_bs128,1,1.7740928009257737,1.7740928009257737,1.7740928009257737,1.7740928009257737,1.7740928009257737,0.022681478785501
benchmark,canterbury,fipb_forced_bs16,1,2.228497787479699,2.228497787479699,2.228497787479699,2.228497787479699,2.228497787479699,0.0269695189990878
benchmark,canterbury,fipb_forced_bs256,1,1.6966381526606131,1.6966381526606131,1.6966381526606131,1.6966381526606131,1.6966381526606131,0.0190046557582571
benchmark,canterbury,fipb_forced_bs32,1,2.008113670285162,2.008113670285162,2.008113670285162,2.008113670285162,2.008113670285162,0.0311378188928637
benchmark,canterbury,fipb_forced_bs512,1,1.6948037004648593,1.6948037004648593,1.6948037004648593,1.6948037004648593,1.6948037004648593,0.0177937064382877
benchmark,canterbury,fipb_forced_bs64,1,1.883936379356824,1.883936379356824,1.883936379356824,1.883936379356824,1.883936379356824,0.0316507763507665
benchmark,canterbury,fipb_raw_fallback_bs128,1,1.0391547054685086,1.0391547054685086,1.0391547054685086,1.0391547054685086,1.0391547054685086,0.0209334498195441
benchmark,canterbury,fipb_raw_fallback_bs16,1,1.187580955887671,1.187580955887671,1.187580955887671,1.187580955887671,1.187580955887671,0.031382099682348
benchmark,canterbury,fipb_raw_fallback_bs256,1,1.019626665965323,1.019626665965323,1.019626665965323,1.019626665965323,1.019626665965323,0.0199087675736749
benchmark,canterbury,fipb_raw_fallback_bs32,1,1.0938266409799526,1.0938266409799526,1.0938266409799526,1.0938266409799526,1.0938266409799526,0.0270134015702441
benchmark,canterbury,fipb_raw_fallback_bs512,1,1.00986264621373,1.00986264621373,1.0098626462137301,1.00986264621373,1.00986264621373,0.018096423209589
benchmark,canterbury,fipb_raw_fallback_bs64,1,1.046959346172307,1.046959346172307,1.046959346172307,1.046959346172307,1.046959346172307,0.0286409002582735
benchmark,canterbury,lzma_9,2,0.3373090759747248,0.3373090759747248,0.3355165399541238,0.3188396267974672,0.3557785251519824,1.671126865898915
benchmark,canterbury,ppmd_6,2,0.2717866637360876,0.2717866637360876,0.2701429663718857,0.2548507781627863,0.2887225493093889,3.4926810143632725
benchmark,canterbury,raw,2,1.0,1.0,1.0,1.0,1.0,61127.00049211139
benchmark,canterbury,rle,2,1.9237762856296292,1.9237762856296292,1.9220321133343912,1.9058051535614016,1.9417474176978569,0.2698848068637322
benchmark,canterbury,zlib_9,2,0.3729195142778108,0.3729195142778108,0.3712941991142144,0.3561730302651736,0.389665998290448,9.471696961820806
benchmark,canterbury,zstd_19,2,0.34207338591193304,0.34207338591193304,0.3402772768584907,0.3235671218825819,0.3605796499412841,1.15296490408334
benchmark,synthetic,brotli_11,7,0.1793035825588675,0.0009136521308225,0.17967767020830422,0.0007100260968283941,0.464874267578125,5.142742158282132
benchmark,synthetic,bzip2_9,7,0.18548770209437607,0.0029732408325074,0.18587043897665315,0.0023128286461881896,0.47347586495535715,35.81557063169464
benchmark,synthetic,fipb_forced_bs128,7,1.5329180537481306,1.76470947265625,1.5322657451418984,1.0353001185825892,1.7969936828310829,0.37172016568271576
benchmark,synthetic,fipb_forced_bs16,7,1.9657727127690907,2.2462615966796875,1.9650452607297637,1.439538801113033,2.267703453440952,0.07307270366119353
benchmark,synthetic,fipb_forced_bs256,7,1.4706368487532409,1.70721435546875,1.4701239864392563,0.9881903196721277,1.7197954355277945,0.7232360044073128
benchmark,synthetic,fipb_forced_bs32,7,1.6410329841139568,1.906420341922696,1.6404764609254858,1.1368546122011274,1.9755688553472155,0.12393367640387203
benchmark,synthetic,fipb_forced_bs512,7,1.4316495689879256,1.68359375,1.4311040822032715,0.9522447992481727,1.6845295518953165,1.5912326987884686
benchmark,synthetic,fipb_forced_bs64,7,1.633455905430921,1.8831329345703125,1.6329162589123445,1.1196042241919197,1.9035451911452064,0.2073581733020134
