corpus,file,block_size,method,blocks,original_bytes,encoded_bytes,ratio,seconds
silesia_sample,nci,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.24179220001678914
silesia_sample,ooffice,256,fipb_per_block,256,65536,104013,1.5871124267578125,
silesia_sample,ooffice,256,huffman_complete,256,65536,71738,1.094635009765625,
silesia_sample,ooffice,256,rice_complete,256,65536,75606,1.153656005859375,
silesia_sample,ooffice,256,entropy_oracle_payload,256,65536,61890,0.944366455078125,
silesia_sample,ooffice,256,shared_alphabet_hybrid,256,65536,63541,0.9695587158203125,0.2219277999829501
silesia_sample,osdb,256,fipb_per_block,256,65536,109829,1.6758575439453125,
silesia_sample,osdb,256,huffman_complete,256,65536,75550,1.152801513671875,
silesia_sample,osdb,256,rice_complete,256,65536,79665,1.2155914306640625,
silesia_sample,osdb,256,entropy_oracle_payload,256,65536,65194,0.994781494140625,
silesia_sample,osdb,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.22274590004235506
silesia_sample,reymont,256,fipb_per_block,256,65536,109505,1.6709136962890625,
silesia_sample,reymont,256,huffman_complete,256,65536,75488,1.15185546875,
silesia_sample,reymont,256,rice_complete,256,65536,79575,1.2142181396484375,
silesia_sample,reymont,256,entropy_oracle_payload,256,65536,65212,0.99505615234375,
silesia_sample,reymont,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.23031959997024387
silesia_sample,samba,256,fipb_per_block,256,65536,108654,1.657928466796875,
silesia_sample,samba,256,huffman_complete,256,65536,74869,1.1424102783203125,
silesia_sample,samba,256,rice_complete,256,65536,78964,1.20489501953125,
silesia_sample,samba,256,entropy_oracle_payload,256,65536,64685,0.9870147705078125,
silesia_sample,samba,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.22193850006442517
silesia_sample,sao,256,fipb_per_block,256,65536,109413,1.6695098876953125,
silesia_sample,sao,256,huffman_complete,256,65536,75492,1.15191650390625,
silesia_sample,sao,256,rice_complete,256,65536,79640,1.2152099609375,
silesia_sample,sao,256,entropy_oracle_payload,256,65536,65227,0.9952850341796875,
silesia_sample,sao,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.24260210001375526
silesia_sample,webster,256,fipb_per_block,256,65536,109668,1.67340087890625,
silesia_sample,webster,256,huffman_complete,256,65536,75509,1.1521759033203125,
silesia_sample,webster,256,rice_complete,256,65536,79680,1.2158203125,
silesia_sample,webster,256,entropy_oracle_payload,256,65536,65238,0.995452880859375,
silesia_sample,webster,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.24815749994013458
silesia_sample,x-ray,256,fipb_per_block,256,65536,109577,1.6720123291015625,
silesia_sample,x-ray,256,huffman_complete,256,65536,75492,1.15191650390625,
silesia_sample,x-ray,256,rice_complete,256,65536,79628,1.21502685546875,
silesia_sample,x-ray,256,entropy_oracle_payload,256,65536,65243,0.9955291748046875,
silesia_sample,x-ray,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.22901009989436716
silesia_sample,xml,256,fipb_per_block,256,65536,110223,1.6818695068359375,
silesia_sample,xml,256,huffman_complete,256,65536,75482,1.151763916015625,
silesia_sample,xml,256,rice_complete,256,65536,79638,1.215179443359375,
silesia_sample,xml,256,entropy_oracle_payload,256,65536,65231,0.9953460693359375,
silesia_sample,xml,256,shared_alphabet_hybrid,256,65536,65545,1.0001373291015625,0.24897109996527433
