corpus,file,bytes,h0_bits_per_byte,h1_bits_per_byte,h0_minus_h1
canterbury,alice29.txt,152089,4.567680212177265,3.4187299090532752,1.14895030312399
canterbury,asyoulik.txt,125179,4.808116220349888,3.41767815163777,1.3904380687121178
canterbury,cp.html,24603,5.229136688128089,3.4674286768196625,1.7617080113084267
canterbury,fields.c,11150,5.007698078197545,2.9503690587307814,2.0573290194667635
canterbury,grammar.lsp,3721,4.632267666454029,2.805152820081237,1.8271148463727926
canterbury,kennedy.xls,1029744,3.573470858581421,2.777309325938669,0.7961615326427518
canterbury,lcet10.txt,426754,4.669117836842554,3.497014135296167,1.1721037015463875
canterbury,plrabn12.txt,481861,4.531362798245583,3.366053934843959,1.165308863401624
canterbury,ptt5,513216,1.210175941358675,0.8236537669210701,0.38652217443760495
canterbury,sum,38240,5.328990058101005,3.2980160253295474,2.0309740327714576
canterbury,xargs.1,4227,4.898431525738649,3.1950522086578226,1.703379317080826
silesia_sample,dickens,65536,4.608444303912923,3.4431488696680033,1.1652954342449195
silesia_sample,mozilla,65536,4.057895553077719,2.285363407640715,1.7725321454370038
silesia_sample,mr,65536,2.729206896589612,2.25625686003948,0.4729500365501318
silesia_sample,nci,65536,2.415514164378627,1.8630354393701174,0.5524787250085097
silesia_sample,ooffice,65536,6.294529931864199,3.8416381494185,2.452891782445699
silesia_sample,osdb,65536,6.592933574455233,4.819311615908338,1.7736219585468955
silesia_sample,reymont,65536,4.842044671535241,2.713818744417446,2.128225927117795
silesia_sample,samba,65536,4.885232989751289,3.3040545614102306,1.5811784283410586
silesia_sample,sao,65536,7.396385770578595,5.11248248837369,2.2839032822049052
silesia_sample,webster,65536,5.035362964086724,3.540681909531219,1.4946810545555054
silesia_sample,x-ray,65536,6.505332644251022,5.298511994120339,1.206820650130683
silesia_sample,xml,65536,5.234866516337651,2.384400833857996,2.8504656824796553
