corpus,files,mean_best_fipb,mean_best_modern,median_ratio_factor,fipb_wins,ties,modern_wins,wilcoxon_statistic,one_sided_p_value
canterbury,11,0.9781673845840302,0.2455998870524881,3.605599071656513,0,0,11,66.0,0.00048828125
silesia_sample,12,0.9659296671549479,0.3050676981608073,3.4691580552691637,0,0,12,78.0,0.000244140625
