corpus,files,original_bytes,encoded_bytes,weighted_ratio,compressed_files,encode_mib_s,decode_mib_s
canterbury,11,2810784,2729973,0.9712496584582807,1,0.7583813684461412,113.32427960453305
silesia,12,211938580,209357301,0.9878206270892256,2,1.4233353389818015,1305.90655020618
enwik8,1,100000000,100000010,1.0000001,0,1.3314776886681885,2418.958316819911
