corpus,file,sha256,method,original_bytes,compressed_bytes,ratio,bits_per_byte,seconds,throughput_mib_s
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,raw,100000000,100000000,1.0,8.0,2.100015990436077e-06,45412716.89118022
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,rle,100000000,188987386,1.88987386,15.11899088,29.955165099934675,3.1836723757811294
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,zlib_9,100000000,36475792,0.36475792,2.91806336,7.330428999965079,13.00980224228068
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,bzip2_9,100000000,29008758,0.29008758,2.32070064,9.784525799914263,9.746760710821638
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,lzma_9,100000000,24865244,0.24865244,1.98921952,128.34528949996457,0.7430536174111114
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,brotli_11,100000000,27045057,0.27045057,2.16360456,319.4504283000715,0.2985359329399392
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,zstd_19,100000000,26939497,0.26939497,2.15515976,100.89223160000984,0.9452405812442719
enwik8,enwik8,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,ppmd_6,100000000,24831371,0.24831371,1.98650968,31.386279299971648,3.038507072761286
