corpus,file,block_size,blocks,direct_binary_bits,index_bits,gap_bits,complete_payload_bits,index_ratio,gap_ratio,complete_payload_ratio
canterbury,lcet10.txt,16,26673,3414032,9028536,3301148,6965312,2.6445376024594967,0.9669352835591465,2.040201146327861
canterbury,lcet10.txt,64,6669,3414032,11743742,3313537,6268336,3.4398453207234145,0.9705641306232631,1.8360507458629562
canterbury,lcet10.txt,256,1668,3414032,14429506,3312875,5711728,4.2265292182381415,0.9703702250008202,1.673015367167033
canterbury,lcet10.txt,512,834,3414032,15805026,3317762,5753072,4.629431124254254,0.9718016702831139,1.6851253883970625
canterbury,plrabn12.txt,16,30117,3854888,10171614,3724373,7876504,2.638627633280137,0.9661429852177288,2.0432510620282613
canterbury,plrabn12.txt,64,7530,3854888,13284170,3744911,7082752,3.4460586144137,0.9714707664658481,1.8373431342233548
canterbury,plrabn12.txt,256,1883,3854888,16311688,3744625,6450936,4.231429810671542,0.9713965749458869,1.673443171370997
canterbury,plrabn12.txt,512,942,3854888,17819967,3741713,6465624,4.62269383701939,0.9706411703790098,1.677253398801729
canterbury,ptt5,16,32076,4105728,2722976,1042429,3050104,0.6632139294176331,0.2538962639512408,0.7428899332834518
canterbury,ptt5,64,8019,4105728,6297384,1852474,3673376,1.5338044799850354,0.45119257778401295,0.8946954108991146
canterbury,ptt5,256,2005,4105728,12119932,2836579,4928296,2.9519568758573387,0.6908833220320488,1.2003464428232946
canterbury,ptt5,512,1003,4105728,14524270,3076269,5304392,3.5375626441888017,0.7492627373269735,1.2919491987779024
canterbury,sum,16,2390,305920,742416,273488,587600,2.4268305439330544,0.8939853556485355,1.9207635983263598
canterbury,sum,64,598,305920,1025030,290036,549408,3.350647228033473,0.9480779288702929,1.7959205020920501
canterbury,sum,256,150,305920,1279501,294458,506240,4.182469273012552,0.9625326882845189,1.6548117154811715
canterbury,sum,512,75,305920,1403214,295173,514736,4.586865847280334,0.964869900627615,1.6825836820083682
canterbury,xargs.1,16,265,33816,88621,32489,69280,2.620682517151644,0.9607582209604921,2.0487343269458242
canterbury,xargs.1,64,67,33816,116561,32815,62208,3.4469186184054887,0.9703986278684646,1.8396025550035486
canterbury,xargs.1,256,17,33816,142374,32786,56456,4.210255500354862,0.9695410456588597,1.6695055594984622
canterbury,xargs.1,512,9,33816,153974,32612,54824,4.55328838419683,0.9643955524012302,1.6212443813579371
silesia_sample,dickens,16,4096,524288,1384026,506630,1071568,2.639820098876953,0.9663200378417969,2.043853759765625
silesia_sample,dickens,64,1024,524288,1806322,509257,962728,3.4452857971191406,0.9713306427001953,1.8362579345703125
silesia_sample,dickens,256,256,524288,2221388,509446,878304,4.236961364746094,0.9716911315917969,1.67523193359375
silesia_sample,dickens,512,128,524288,2426743,509329,885056,4.628644943237305,0.9714679718017578,1.6881103515625
silesia_sample,mozilla,16,4096,524288,891472,329261,748352,1.700347900390625,0.6280155181884766,1.4273681640625
silesia_sample,mozilla,64,1024,524288,1267668,359647,689720,2.4178848266601562,0.6859722137451172,1.3155364990234375
silesia_sample,mozilla,256,256,524288,1646324,377937,653592,3.1401138305664062,0.7208576202392578,1.2466278076171875
silesia_sample,mozilla,512,128,524288,1833603,384946,668560,3.4973201751708984,0.7342262268066406,1.275177001953125
silesia_sample,mr,16,4096,524288,978514,360203,806680,1.8663673400878906,0.6870326995849609,1.5386199951171875
silesia_sample,mr,64,1024,524288,1328076,375711,720240,2.5331039428710938,0.7166118621826172,1.373748779296875
silesia_sample,mr,256,256,524288,1664022,383089,662264,3.173870086669922,0.7306842803955078,1.2631683349609375
silesia_sample,mr,512,128,524288,2357864,495875,866072,4.4972686767578125,0.9458065032958984,1.6519012451171875
silesia_sample,nci,16,4096,524288,1435941,510581,1095264,2.738840103149414,0.9738559722900391,2.08905029296875
silesia_sample,nci,64,1024,524288,1805195,508432,961488,3.443136215209961,0.969757080078125,1.833892822265625
silesia_sample,nci,256,256,524288,2216604,509094,876616,4.227836608886719,0.9710197448730469,1.6720123291015625
silesia_sample,nci,512,128,524288,2419181,508189,879592,4.614221572875977,0.9692935943603516,1.6776885986328125
silesia_sample,ooffice,16,4096,524288,1313495,477608,1018520,2.5052928924560547,0.9109649658203125,1.9426727294921875
silesia_sample,ooffice,64,1024,524288,1705783,482027,913304,3.2535228729248047,0.9193935394287109,1.7419891357421875
silesia_sample,ooffice,256,256,524288,2103955,483109,832104,4.012975692749023,0.9214572906494141,1.5871124267578125
silesia_sample,ooffice,512,128,524288,2312168,485300,841600,4.4101104736328125,0.9256362915039062,1.605224609375
silesia_sample,osdb,16,4096,524288,1373742,501114,1072064,2.6202049255371094,0.9557991027832031,2.0447998046875
silesia_sample,osdb,64,1024,524288,1796706,507483,960032,3.4269447326660156,0.9679470062255859,1.83111572265625
silesia_sample,osdb,256,256,524288,2217244,508924,878632,4.229057312011719,0.9706954956054688,1.6758575439453125
silesia_sample,osdb,512,128,524288,2422387,508497,880432,4.620336532592773,0.9698810577392578,1.679290771484375
silesia_sample,reymont,16,4096,524288,1386719,504805,1072024,2.644956588745117,0.9628391265869141,2.0447235107421875
silesia_sample,reymont,64,1024,524288,1804015,509015,963528,3.440885543823242,0.9708690643310547,1.8377838134765625
silesia_sample,reymont,256,256,524288,2213240,508545,876040,4.2214202880859375,0.9699726104736328,1.6709136962890625
silesia_sample,reymont,512,128,524288,2424813,509099,886432,4.624963760375977,0.9710292816162109,1.69073486328125
silesia_sample,samba,16,4096,524288,1268028,463099,992120,2.4185714721679688,0.8832912445068359,1.8923187255859375
silesia_sample,samba,64,1024,524288,1678083,473930,899816,3.2006893157958984,0.9039497375488281,1.7162628173828125
silesia_sample,samba,256,256,524288,2196506,504340,869232,4.189502716064453,0.9619522094726562,1.657928466796875
silesia_sample,samba,512,128,524288,2426601,509228,894920,4.628374099731445,0.9712753295898438,1.7069244384765625
silesia_sample,sao,16,4096,524288,1393900,507282,1075384,2.6586532592773438,0.9675636291503906,2.0511322021484375
silesia_sample,sao,64,1024,524288,1798252,507982,961496,3.4298934936523438,0.9688987731933594,1.8339080810546875
silesia_sample,sao,256,256,524288,2216102,509126,875304,4.226879119873047,0.9710807800292969,1.6695098876953125
silesia_sample,sao,512,128,524288,2421232,508363,884984,4.618133544921875,0.9696254730224609,1.6879730224609375
silesia_sample,webster,16,4096,524288,1379762,505180,1077072,2.6316871643066406,0.9635543823242188,2.054351806640625
silesia_sample,webster,64,1024,524288,1804841,509061,963200,3.4424610137939453,0.9709568023681641,1.837158203125
silesia_sample,webster,256,256,524288,2219095,509423,877344,4.232587814331055,0.9716472625732422,1.67340087890625
silesia_sample,webster,512,128,524288,2424934,509325,866624,4.625194549560547,0.9714603424072266,1.6529541015625
silesia_sample,x-ray,16,4096,524288,1397360,508108,1079240,2.665252685546875,0.9691390991210938,2.0584869384765625
silesia_sample,x-ray,64,1024,524288,1802349,509005,961968,3.4377079010009766,0.9708499908447266,1.834808349609375
silesia_sample,x-ray,256,256,524288,2215109,508824,876616,4.224985122680664,0.9705047607421875,1.6720123291015625
silesia_sample,x-ray,512,128,524288,2427812,509546,872352,4.630683898925781,0.9718818664550781,1.66387939453125
silesia_sample,xml,16,4096,524288,1381604,503578,1068320,2.6352005004882812,0.9604988098144531,2.03765869140625
silesia_sample,xml,64,1024,524288,1789836,505527,956064,3.4138412475585938,0.9642162322998047,1.82354736328125
silesia_sample,xml,256,256,524288,2217345,509176,881784,4.229249954223633,0.9711761474609375,1.6818695068359375
silesia_sample,xml,512,128,524288,2423401,508888,872640,4.622270584106445,0.9706268310546875,1.6644287109375
